epoch,step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
,0,,,,0.14186052978038788
0,1,,,0.14186052978038788,
0,1,0.7379155158996582,,,
,1,,,,0.23782828450202942
1,3,,,0.2378282994031906,
1,3,0.2669297456741333,,,
,2,,,,0.21232005953788757
2,5,,,0.21232004463672638,
2,5,0.31384748220443726,,,
,3,,,,0.16449382901191711
3,7,,,0.16449382901191711,
3,7,0.2253931760787964,,,
,4,,,,0.14022132754325867
4,9,,,0.14022132754325867,
4,9,0.18282891809940338,,,
,5,,,,0.1764085292816162
5,11,,,0.1764085292816162,
5,11,0.1393609642982483,,,
,6,,,,0.09519046545028687
6,13,,,0.09519046545028687,
6,13,0.15094596147537231,,,
,7,,,,0.19430124759674072
7,15,,,0.19430124759674072,
7,15,0.09844289720058441,,,
,8,,,,0.2114441841840744
8,17,,,0.2114441841840744,
8,17,0.1319178342819214,,,
,9,,,,0.1508452147245407
9,19,,,0.1508452147245407,
9,19,0.11903364211320877,,,
,10,,,,0.10481160879135132
10,21,,,0.10481160879135132,
10,21,0.10223609209060669,,,
,11,,,,0.10145964473485947
11,23,,,0.10145964473485947,
11,23,0.09567423909902573,,,
,12,,,,0.12212502211332321
12,25,,,0.12212502211332321,
12,25,0.09034926444292068,,,
,13,,,,0.1228477954864502
13,27,,,0.1228477954864502,
13,27,0.09797442704439163,,,
,14,,,,0.10337238013744354
14,29,,,0.10337237268686295,
14,29,0.0912344679236412,,,
,15,,,,0.1279752105474472
15,31,,,0.1279752105474472,
15,31,0.0943479910492897,,,
,16,,,,0.15047535300254822
16,33,,,0.15047535300254822,
16,33,0.07567291706800461,,,
,17,,,,0.11952544748783112
17,35,,,0.11952545493841171,
17,35,0.09214376658201218,,,
,18,,,,0.09838399291038513
18,37,,,0.09838399291038513,
18,37,0.08318597823381424,,,
,19,,,,0.10026870667934418
19,39,,,0.10026869922876358,
19,39,0.09370559453964233,,,
,20,,,,0.14570116996765137
20,41,,,0.14570116996765137,
20,41,0.07217951118946075,,,
,21,,,,0.12750178575515747
21,43,,,0.12750178575515747,
21,43,0.08974487334489822,,,
,22,,,,0.09645809978246689
22,45,,,0.09645809978246689,
22,45,0.06687355786561966,,,
,23,,,,0.09480780363082886
23,47,,,0.09480780363082886,
23,47,0.08758574724197388,,,
24,49,,0.08020072430372238,,
,24,,,,0.11423037946224213
24,49,,,0.11423037201166153,
24,49,0.07988041639328003,,,
,25,,,,0.12687531113624573
25,51,,,0.12687531113624573,
25,51,0.08586475253105164,,,
,26,,,,0.08808660507202148
26,53,,,0.08808660507202148,
26,53,0.07456410676240921,,,
,27,,,,0.0754152238368988
27,55,,,0.0754152238368988,
27,55,0.08283223956823349,,,
,28,,,,0.11157006025314331
28,57,,,0.11157006025314331,
28,57,0.07455454021692276,,,
,29,,,,0.11520278453826904
29,59,,,0.11520278453826904,
29,59,0.06663598865270615,,,
,30,,,,0.07846102118492126
30,61,,,0.07846102118492126,
30,61,0.0746777132153511,,,
,31,,,,0.08337896317243576
31,63,,,0.08337896317243576,
31,63,0.0642339438199997,,,
,32,,,,0.09385852515697479
32,65,,,0.0938585177063942,
32,65,0.06690867990255356,,,
,33,,,,0.08597629517316818
33,67,,,0.08597629517316818,
33,67,0.0520249605178833,,,
,34,,,,0.07815270125865936
34,69,,,0.07815270125865936,
34,69,0.05432428419589996,,,
,35,,,,0.08400200307369232
35,71,,,0.08400199562311172,
35,71,0.052213154733181,,,
,36,,,,0.08219920098781586
36,73,,,0.08219920098781586,
36,73,0.04497423768043518,,,
,37,,,,0.0754837617278099
37,75,,,0.0754837617278099,
37,75,0.044833697378635406,,,
,38,,,,0.06823146343231201
38,77,,,0.06823146343231201,
38,77,0.042979542165994644,,,
,39,,,,0.08724193274974823
39,79,,,0.08724192529916763,
39,79,0.03590666130185127,,,
