Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-05-25 00:00:00+02:00,1650.1099853515625,1650.68994140625,1639.0999755859375,1650.68994140625,0,0.0,0.0
2015-05-26 00:00:00+02:00,1650.06005859375,1656.97998046875,1636.1600341796875,1638.489990234375,0,0.0,0.0
2015-05-27 00:00:00+02:00,1642.489990234375,1664.1600341796875,1637.7900390625,1664.0799560546875,0,0.0,0.0
2015-05-28 00:00:00+02:00,1661.6099853515625,1668.47998046875,1657.989990234375,1667.06005859375,0,0.0,0.0
2015-05-29 00:00:00+02:00,1669.1300048828125,1669.1300048828125,1644.989990234375,1644.989990234375,0,0.0,0.0
2015-06-01 00:00:00+02:00,1648.469970703125,1656.8499755859375,1644.760009765625,1649.5899658203125,0,0.0,0.0
2015-06-02 00:00:00+02:00,1657.5899658203125,1657.5899658203125,1629.93994140625,1638.6500244140625,0,0.0,0.0
2015-06-03 00:00:00+02:00,1642.260009765625,1650.280029296875,1632.27001953125,1641.68994140625,0,0.0,0.0
2015-06-04 00:00:00+02:00,1638.739990234375,1639.260009765625,1618.8399658203125,1625.02001953125,0,0.0,0.0
2015-06-05 00:00:00+02:00,1616.949951171875,1616.949951171875,1601.1600341796875,1606.4599609375,0,0.0,0.0
2015-06-08 00:00:00+02:00,1602.8399658203125,1608.239990234375,1589.5699462890625,1589.5699462890625,0,0.0,0.0
2015-06-09 00:00:00+02:00,1588.31005859375,1594.4599609375,1569.4599609375,1587.8399658203125,0,0.0,0.0
2015-06-10 00:00:00+02:00,1584.8299560546875,1613.030029296875,1578.8499755859375,1610.3800048828125,0,0.0,0.0
2015-06-11 00:00:00+02:00,1609.4000244140625,1618.6600341796875,1596.47998046875,1604.8900146484375,0,0.0,0.0
2015-06-12 00:00:00+02:00,1605.5400390625,1611.4000244140625,1588.4300537109375,1597.3299560546875,0,0.0,0.0
2015-06-15 00:00:00+02:00,1584.3599853515625,1586.3800048828125,1561.52001953125,1566.989990234375,0,0.0,0.0
2015-06-16 00:00:00+02:00,1558.27001953125,1585.800048828125,1548.6800537109375,1582.22998046875,0,0.0,0.0
2015-06-17 00:00:00+02:00,1582.9000244140625,1584.27001953125,1565.8599853515625,1567.4599609375,0,0.0,0.0
2015-06-18 00:00:00+02:00,1564.010009765625,1565.22998046875,1538.469970703125,1562.4300537109375,0,0.0,0.0
2015-06-22 00:00:00+02:00,1591.52001953125,1606.6199951171875,1581.6300048828125,1606.6199951171875,0,0.0,0.0
2015-06-23 00:00:00+02:00,1614.4599609375,1628.239990234375,1611.5400390625,1620.949951171875,0,0.0,0.0
2015-06-24 00:00:00+02:00,1623.8699951171875,1627.5699462890625,1606.75,1611.5,0,0.0,0.0
2015-06-25 00:00:00+02:00,1599.93994140625,1613.1700439453125,1594.9000244140625,1601.1199951171875,0,0.0,0.0
2015-06-26 00:00:00+02:00,1593.5999755859375,1614.300048828125,1584.030029296875,1608.260009765625,0,0.0,0.0
2015-06-29 00:00:00+02:00,1550.300048828125,1585.780029296875,1545.5799560546875,1559.800048828125,0,0.0,0.0
2015-06-30 00:00:00+02:00,1556.6800537109375,1561.3399658203125,1537.9300537109375,1541.6600341796875,0,0.0,0.0
2015-07-01 00:00:00+02:00,1550.6400146484375,1582.0999755859375,1546.4200439453125,1575.5,0,0.0,0.0
