epoch,step,train_loss_epoch,val_loss_epoch,val_loss_step
,0,,,0.42303594946861267
0,1,,0.42303594946861267,
0,1,0.7520110607147217,,
,1,,,0.21622249484062195
1,3,,0.21622247993946075,
1,3,0.5286993384361267,,
,2,,,0.2135462462902069
2,5,,0.21354623138904572,
2,5,0.23457767069339752,,
,3,,,0.14209920167922974
3,7,,0.14209920167922974,
3,7,0.24668359756469727,,
,4,,,0.16458237171173096
4,9,,0.16458237171173096,
4,9,0.14518027007579803,,
,5,,,0.14312291145324707
5,11,,0.14312291145324707,
5,11,0.18308313190937042,,
,6,,,0.05375877022743225
6,13,,0.05375877022743225,
6,13,0.19169729948043823,,
,7,,,0.11920037865638733
7,15,,0.11920037865638733,
7,15,0.137247696518898,,
,8,,,0.09148242324590683
8,17,,0.09148242324590683,
8,17,0.14166708290576935,,
,9,,,0.0636003315448761
9,19,,0.0636003315448761,
9,19,0.10887656360864639,,
,10,,,0.09865298122167587
10,21,,0.09865298122167587,
10,21,0.08901997655630112,,
,11,,,0.07793505489826202
11,23,,0.07793505489826202,
11,23,0.11055143177509308,,
,12,,,0.04185499995946884
12,25,,0.04185499623417854,
12,25,0.08960151672363281,,
,13,,,0.06766866147518158
13,27,,0.06766866147518158,
13,27,0.06914905458688736,,
,14,,,0.04963146150112152
14,29,,0.04963146150112152,
14,29,0.08357198536396027,,
,15,,,0.05572783201932907
15,31,,0.05572782829403877,
15,31,0.060477808117866516,,
,16,,,0.058653734624385834
16,33,,0.058653730899095535,
16,33,0.05894624814391136,,
,17,,,0.05527029559016228
17,35,,0.05527029559016228,
17,35,0.05279754474759102,,
,18,,,0.04567538946866989
18,37,,0.04567538574337959,
18,37,0.05416698753833771,,
,19,,,0.04230598360300064
19,39,,0.04230598732829094,
19,39,0.046392202377319336,,
