epoch,step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
,0,,,,0.35044312477111816
0,3,,,0.35044312477111816,
0,3,0.7651652097702026,,,
,1,,,,0.26676511764526367
1,7,,,0.26676511764526367,
1,7,0.2557922601699829,,,
,2,,,,0.2078036516904831
2,11,,,0.2078036516904831,
2,11,0.19759027659893036,,,
,3,,,,0.15947961807250977
3,15,,,0.15947961807250977,
3,15,0.289326012134552,,,
,4,,,,0.1855773627758026
4,19,,,0.18557734787464142,
4,19,0.1640610694885254,,,
,5,,,,0.12536683678627014
5,23,,,0.12536683678627014,
5,23,0.17412622272968292,,,
,6,,,,0.09382770955562592
6,27,,,0.09382770210504532,
6,27,0.13440047204494476,,,
,7,,,,0.15377351641654968
7,31,,,0.15377351641654968,
7,31,0.13728781044483185,,,
,8,,,,0.07225514948368073
8,35,,,0.07225514948368073,
8,35,0.12813690304756165,,,
,9,,,,0.08875906467437744
9,39,,,0.08875906467437744,
9,39,0.13422399759292603,,,
,10,,,,0.15009595453739166
10,43,,,0.15009595453739166,
10,43,0.0974854826927185,,,
,11,,,,0.0880342423915863
11,47,,,0.0880342423915863,
11,47,0.10119786858558655,,,
12,49,,0.08169209957122803,,
,12,,,,0.08989499509334564
12,51,,,0.08989498764276505,
12,51,0.09337214380502701,,,
,13,,,,0.11920946091413498
13,55,,,0.11920946091413498,
13,55,0.07282863557338715,,,
,14,,,,0.09615832567214966
14,59,,,0.09615832567214966,
14,59,0.10652529448270798,,,
,15,,,,0.11533116549253464
15,63,,,0.11533116549253464,
15,63,0.11550874263048172,,,
,16,,,,0.1643989384174347
16,67,,,0.1643989384174347,
16,67,0.11034004390239716,,,
,17,,,,0.08374091982841492
17,71,,,0.08374091982841492,
17,71,0.11590658873319626,,,
,18,,,,0.13327594101428986
18,75,,,0.13327594101428986,
18,75,0.10696089267730713,,,
,19,,,,0.13209709525108337
19,79,,,0.13209709525108337,
19,79,0.10629414767026901,,,
,20,,,,0.10997408628463745
20,83,,,0.10997408628463745,
20,83,0.11239948868751526,,,
,21,,,,0.05275183171033859
21,87,,,0.052751827985048294,
21,87,0.07667272537946701,,,
,22,,,,0.08089828491210938
22,91,,,0.08089828491210938,
22,91,0.08641675859689713,,,
,23,,,,0.08576099574565887
23,95,,,0.08576098829507828,
23,95,0.08453895151615143,,,
24,99,,0.03789837658405304,,
,24,,,,0.07400831580162048
24,99,,,0.07400831580162048,
24,99,0.07264620065689087,,,
,25,,,,0.09414877742528915
25,103,,,0.09414877742528915,
25,103,0.0814993754029274,,,
,26,,,,0.086149662733078
26,107,,,0.086149662733078,
26,107,0.09456650167703629,,,
,27,,,,0.13315704464912415
27,111,,,0.13315704464912415,
27,111,0.10462842136621475,,,
,28,,,,0.11423125118017197
28,115,,,0.11423125118017197,
28,115,0.10907380282878876,,,
,29,,,,0.07691704481840134
29,119,,,0.07691704481840134,
29,119,0.11845620721578598,,,
,30,,,,0.06338679790496826
30,123,,,0.06338679790496826,
30,123,0.08774329721927643,,,
,31,,,,0.09100762009620667
31,127,,,0.09100762009620667,
31,127,0.07326284795999527,,,
,32,,,,0.093657486140728
32,131,,,0.093657486140728,
32,131,0.06344855576753616,,,
,33,,,,0.10948574542999268
33,135,,,0.10948574542999268,
33,135,0.06984269618988037,,,
,34,,,,0.10652659833431244
34,139,,,0.10652659088373184,
34,139,0.07887967675924301,,,
,35,,,,0.06349047273397446
35,143,,,0.06349047273397446,
35,143,0.08319122344255447,,,
,36,,,,0.09002913534641266
36,147,,,0.09002914279699326,
36,147,0.08792462944984436,,,
37,149,,0.12027890980243683,,
,37,,,,0.09299921244382858
37,151,,,0.09299921244382858,
37,151,0.10383191704750061,,,
,38,,,,0.08253239095211029
38,155,,,0.08253239095211029,
38,155,0.08645080029964447,,,
,39,,,,0.09798121452331543
39,159,,,0.09798121452331543,
39,159,0.0824512243270874,,,
,40,,,,0.06513367593288422
40,163,,,0.06513367593288422,
40,163,0.09589340537786484,,,
,41,,,,0.06922516226768494
41,167,,,0.06922516226768494,
41,167,0.10331153124570847,,,
,42,,,,0.13013991713523865
42,171,,,0.13013991713523865,
