epoch,step,train_loss_epoch,val_loss_epoch,val_loss_step
,0,,,0.5116814374923706
0,1,,0.5116814374923706,
0,1,0.7088931798934937,,
,1,,,0.18930670619010925
1,3,,0.18930669128894806,
1,3,0.461434930562973,,
,2,,,0.2651188373565674
2,5,,0.2651188373565674,
2,5,0.19776684045791626,,
,3,,,0.11180722713470459
3,7,,0.11180722713470459,
3,7,0.3003222942352295,,
,4,,,0.2028476893901825
4,9,,0.2028476744890213,
4,9,0.12627901136875153,,
,5,,,0.22095561027526855
5,11,,0.22095561027526855,
5,11,0.1848784238100052,,
,6,,,0.12485811114311218
6,13,,0.12485811114311218,
6,13,0.19092069566249847,,
,7,,,0.12265211343765259
7,15,,0.12265211343765259,
7,15,0.12261908501386642,,
,8,,,0.058704592287540436
8,17,,0.058704596012830734,
8,17,0.10639574378728867,,
,9,,,0.06408196687698364
9,19,,0.06408196687698364,
9,19,0.09505850076675415,,
,10,,,0.04524384066462517
10,21,,0.04524384066462517,
10,21,0.10842671990394592,,
,11,,,0.10294528305530548
11,23,,0.10294529050588608,
11,23,0.07639751583337784,,
,12,,,0.09863736480474472
12,25,,0.09863736480474472,
12,25,0.08540718257427216,,
,13,,,0.05798754096031189
13,27,,0.05798754096031189,
13,27,0.07492955029010773,,
,14,,,0.040819328278303146
14,29,,0.040819328278303146,
14,29,0.05252429097890854,,
,15,,,0.039440132677555084
15,31,,0.039440132677555084,
15,31,0.06843286752700806,,
,16,,,0.04573393613100052
16,33,,0.04573393985629082,
16,33,0.05333893001079559,,
,17,,,0.06029822677373886
17,35,,0.06029822304844856,
17,35,0.054768066853284836,,
,18,,,0.04942489415407181
18,37,,0.049424897879362106,
18,37,0.05795137956738472,,
,19,,,0.05104164406657219
19,39,,0.05104164406657219,
19,39,0.04546971246600151,,
