epoch,step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
,0,,,,0.6109225153923035
0,3,,,0.6109225153923035,
0,3,0.4031042158603668,,,
,1,,,,0.34277161955833435
1,7,,,0.34277161955833435,
1,7,0.5016669034957886,,,
,2,,,,0.14961716532707214
2,11,,,0.14961716532707214,
2,11,0.25669926404953003,,,
,3,,,,0.1269884556531906
3,15,,,0.1269884556531906,
3,15,0.1533551812171936,,,
,4,,,,0.12797391414642334
4,19,,,0.12797391414642334,
4,19,0.13054296374320984,,,
,5,,,,0.16996225714683533
5,23,,,0.16996224224567413,
5,23,0.10220625251531601,,,
,6,,,,0.13952505588531494
6,27,,,0.13952505588531494,
6,27,0.13680867850780487,,,
,7,,,,0.11319290101528168
7,31,,,0.11319289356470108,
7,31,0.1367020606994629,,,
,8,,,,0.14964140951633453
8,35,,,0.14964140951633453,
8,35,0.0990542471408844,,,
,9,,,,0.14046305418014526
9,39,,,0.14046305418014526,
9,39,0.11873317509889603,,,
,10,,,,0.14854755997657776
10,43,,,0.14854755997657776,
10,43,0.13661304116249084,,,
,11,,,,0.17570865154266357
11,47,,,0.17570865154266357,
11,47,0.10702759027481079,,,
12,49,,0.12060324102640152,,
,12,,,,0.10081573575735092
12,51,,,0.10081573575735092,
12,51,0.14537782967090607,,,
,13,,,,0.120267353951931
13,55,,,0.120267353951931,
13,55,0.1244368627667427,,,
,14,,,,0.14961855113506317
14,59,,,0.14961855113506317,
14,59,0.1104346513748169,,,
,15,,,,0.11179278790950775
15,63,,,0.11179278045892715,
15,63,0.10066347569227219,,,
,16,,,,0.1038065180182457
16,67,,,0.1038065180182457,
16,67,0.0882016122341156,,,
,17,,,,0.10537165403366089
17,71,,,0.10537165403366089,
17,71,0.08989894390106201,,,
,18,,,,0.08984614908695221
18,75,,,0.0898461565375328,
18,75,0.07436451315879822,,,
,19,,,,0.08333230018615723
19,79,,,0.08333230018615723,
19,79,0.06945748627185822,,,
,20,,,,0.12224157899618149
20,83,,,0.12224157899618149,
20,83,0.057576555758714676,,,
,21,,,,0.09357720613479614
21,87,,,0.09357720613479614,
21,87,0.1387048065662384,,,
,22,,,,0.15166127681732178
22,91,,,0.15166127681732178,
22,91,0.07726460695266724,,,
,23,,,,0.0926423966884613
23,95,,,0.0926423966884613,
23,95,0.13889183104038239,,,
24,99,,0.21591715514659882,,
,24,,,,0.1164880245923996
24,99,,,0.116488017141819,
24,99,0.11265712976455688,,,
,25,,,,0.2128695845603943
25,103,,,0.2128695845603943,
25,103,0.07436724752187729,,,
,26,,,,0.14229489862918854
26,107,,,0.14229489862918854,
26,107,0.208321675658226,,,
,27,,,,0.15226158499717712
27,111,,,0.15226158499717712,
27,111,0.11232975125312805,,,
,28,,,,0.09070189297199249
28,115,,,0.09070190042257309,
28,115,0.13286076486110687,,,
,29,,,,0.11614102125167847
29,119,,,0.11614102125167847,
29,119,0.09570790082216263,,,
,30,,,,0.11320953071117401
30,123,,,0.11320952326059341,
30,123,0.07487404346466064,,,
,31,,,,0.08334451913833618
31,127,,,0.08334451913833618,
31,127,0.11725623905658722,,,
,32,,,,0.14081352949142456
32,131,,,0.14081352949142456,
32,131,0.07199585437774658,,,
,33,,,,0.10034382343292236
33,135,,,0.10034382343292236,
33,135,0.08216554671525955,,,
,34,,,,0.08145631104707718
34,139,,,0.08145631104707718,
34,139,0.07718778401613235,,,
,35,,,,0.08071354031562805
35,143,,,0.08071354031562805,
35,143,0.07925169914960861,,,
,36,,,,0.0829952210187912
36,147,,,0.0829952210187912,
36,147,0.05386267602443695,,,
37,149,,0.048747994005680084,,
,37,,,,0.08266334235668182
37,151,,,0.08266334235668182,
37,151,0.05320622771978378,,,
,38,,,,0.08368203043937683
38,155,,,0.08368203043937683,
38,155,0.047530438750982285,,,
,39,,,,0.07383560389280319
39,159,,,0.07383560389280319,
39,159,0.05352740362286568,,,
,40,,,,0.062294553965330124
40,163,,,0.062294553965330124,
40,163,0.0484391450881958,,,
,41,,,,0.06391427665948868
41,167,,,0.06391427665948868,
41,167,0.05284338444471359,,,
,42,,,,0.08561481535434723
42,171,,,0.08561482280492783,
42,171,0.04040549322962761,,,
,43,,,,0.08348061144351959
43,175,,,0.08348061889410019,
43,175,0.05424601212143898,,,
,44,,,,0.05994192883372307
44,179,,,0.05994192883372307,
44,179,0.054670415818691254,,,
,45,,,,0.06252840906381607
45,183,,,0.06252840906381607,
45,183,0.0544043593108654,,,
,46,,,,0.08158600330352783
46,187,,,0.08158600330352783,
46,187,0.06878463923931122,,,
,47,,,,0.1005338728427887
47,191,,,0.1005338728427887,
47,191,0.057133596390485764,,,
,48,,,,0.06681790202856064
48,195,,,0.06681790202856064,
48,195,0.05791197717189789,,,
49,199,,0.06148862838745117,,
,49,,,,0.07741060853004456
49,199,,,0.07741060853004456,
49,199,0.06839629262685776,,,
,50,,,,0.08094456046819687
50,203,,,0.08094456046819687,
50,203,0.08430825918912888,,,
,51,,,,0.10617701709270477
51,207,,,0.10617700964212418,
51,207,0.06025431677699089,,,
,52,,,,0.08942282199859619
52,211,,,0.08942282199859619,
52,211,0.07514211535453796,,,
,53,,,,0.07588169723749161
53,215,,,0.07588169723749161,
53,215,0.05455390363931656,,,
,54,,,,0.07900159806013107
54,219,,,0.07900159806013107,
54,219,0.05772634595632553,,,
,55,,,,0.06967908143997192
55,223,,,0.06967908143997192,
55,223,0.057990528643131256,,,
,56,,,,0.0661529004573822
56,227,,,0.0661529004573822,
56,227,0.04600831866264343,,,
,57,,,,0.07176271080970764
57,231,,,0.07176271080970764,
57,231,0.0442298986017704,,,
,58,,,,0.06271520256996155
58,235,,,0.06271520256996155,
58,235,0.04728052392601967,,,
,59,,,,0.06472986936569214
59,239,,,0.06472986936569214,
59,239,0.047549959272146225,,,
,60,,,,0.06012602150440216
60,243,,,0.06012602150440216,
60,243,0.05850925296545029,,,
,61,,,,0.0783461332321167
61,247,,,0.0783461332321167,
61,247,0.047058381140232086,,,
62,249,,0.0653732568025589,,
,62,,,,0.07285835593938828
62,251,,,0.07285835593938828,
62,251,0.05949047952890396,,,
,63,,,,0.06324740499258041
63,255,,,0.06324740499258041,
63,255,0.047243572771549225,,,
,64,,,,0.07731814682483673
64,259,,,0.07731814682483673,
64,259,0.0462774783372879,,,
,65,,,,0.07719423621892929
65,263,,,0.07719423621892929,
65,263,0.051026444882154465,,,
,66,,,,0.07070431113243103
66,267,,,0.07070431113243103,
66,267,0.05852916091680527,,,
,67,,,,0.06060070917010307
67,271,,,0.06060070917010307,
67,271,0.04649999737739563,,,
,68,,,,0.06065256521105766
68,275,,,0.06065256521105766,
68,275,0.05453997850418091,,,
,69,,,,0.06045142933726311
69,279,,,0.06045142933726311,
69,279,0.058757513761520386,,,
,70,,,,0.08056336641311646
70,283,,,0.08056336641311646,
70,283,0.049113139510154724,,,
,71,,,,0.09490525722503662
71,287,,,0.09490525722503662,
71,287,0.04138685017824173,,,
,72,,,,0.07664661109447479
72,291,,,0.07664661109447479,
72,291,0.06321986764669418,,,
,73,,,,0.0686267763376236
73,295,,,0.0686267763376236,
73,295,0.09468339383602142,,,
74,299,,0.08142642676830292,,
,74,,,,0.07853081822395325
74,299,,,0.07853081822395325,
74,299,0.06334968656301498,,,
,75,,,,0.07627298682928085
75,303,,,0.07627298682928085,
75,303,0.050326623022556305,,,
,76,,,,0.07310378551483154
76,307,,,0.07310378551483154,
76,307,0.049869682639837265,,,
,77,,,,0.0684012621641159
77,311,,,0.0684012621641159,
77,311,0.06169086694717407,,,
,78,,,,0.05947441980242729
78,315,,,0.05947441980242729,
78,315,0.04862455278635025,,,
,79,,,,0.060746073722839355
79,319,,,0.060746073722839355,
79,319,0.04355177655816078,,,
,80,,,,0.07755091041326523
80,323,,,0.07755091041326523,
80,323,0.032036639750003815,,,
,81,,,,0.08277545869350433
81,327,,,0.08277545869350433,
81,327,0.04728468507528305,,,
,82,,,,0.06274951994419098
82,331,,,0.06274951994419098,
82,331,0.04304930567741394,,,
,83,,,,0.062381502240896225
83,335,,,0.062381502240896225,
83,335,0.03839172050356865,,,
,84,,,,0.06999698281288147
84,339,,,0.06999698281288147,
84,339,0.03573976457118988,,,
,85,,,,0.11310538649559021
85,343,,,0.11310538649559021,
85,343,0.043537795543670654,,,
,86,,,,0.09607769548892975
86,347,,,0.09607770293951035,
86,347,0.13244333863258362,,,
87,349,,0.059653762727975845,,
,87,,,,0.13157981634140015
87,351,,,0.13157981634140015,
87,351,0.07952249050140381,,,
,88,,,,0.09296320378780365
88,355,,,0.09296319633722305,
88,355,0.11518745124340057,,,
,89,,,,0.08386297523975372
89,359,,,0.08386298269033432,
89,359,0.07345256209373474,,,
,90,,,,0.06545687466859818
90,363,,,0.06545687466859818,
90,363,0.05570685863494873,,,
,91,,,,0.06519218534231186
91,367,,,0.06519218534231186,
91,367,0.0417037159204483,,,
,92,,,,0.06976877897977829
92,371,,,0.06976877897977829,
92,371,0.04312573000788689,,,
,93,,,,0.0708002895116806
93,375,,,0.0708002895116806,
93,375,0.051711052656173706,,,
,94,,,,0.08084861189126968
94,379,,,0.08084861189126968,
94,379,0.04793679714202881,,,
,95,,,,0.057142965495586395
95,383,,,0.0571429617702961,
95,383,0.04073368385434151,,,
,96,,,,0.05060188099741936
96,387,,,0.05060188099741936,
96,387,0.04252754524350166,,,
,97,,,,0.06751301139593124
97,391,,,0.06751301139593124,
97,391,0.0391191765666008,,,
,98,,,,0.07002554088830948
98,395,,,0.07002554088830948,
98,395,0.042747460305690765,,,
99,399,,0.04283255338668823,,
,99,,,,0.05503319948911667
99,399,,,0.05503319576382637,
99,399,0.06434349715709686,,,
