epoch,step,train_loss_epoch,val_loss_epoch,val_loss_step
,0,,,0.5359990000724792
0,1,,0.5359990000724792,
0,1,0.758394181728363,,
,1,,,0.24676160514354706
1,3,,0.24676160514354706,
1,3,0.5135290026664734,,
,2,,,0.15732181072235107
2,5,,0.15732181072235107,
2,5,0.22415706515312195,,
,3,,,0.09762269258499146
3,7,,0.09762269258499146,
3,7,0.17154894769191742,,
,4,,,0.15755371749401093
4,9,,0.15755371749401093,
4,9,0.10709834843873978,,
,5,,,0.12409521639347076
5,11,,0.12409522384405136,
5,11,0.10837505012750626,,
,6,,,0.09310173988342285
6,13,,0.09310173988342285,
6,13,0.08282631635665894,,
,7,,,0.09394626319408417
7,15,,0.09394625574350357,
7,15,0.08219677209854126,,
,8,,,0.12540709972381592
8,17,,0.12540709972381592,
8,17,0.08721313625574112,,
,9,,,0.11982759833335876
9,19,,0.11982759833335876,
9,19,0.09052333980798721,,
,10,,,0.11093049496412277
10,21,,0.11093049496412277,
10,21,0.08109769225120544,,
,11,,,0.09707941114902496
11,23,,0.09707941859960556,
11,23,0.07706499844789505,,
,12,,,0.09929819405078888
12,25,,0.09929820150136948,
12,25,0.07846685498952866,,
,13,,,0.07301247119903564
13,27,,0.07301247119903564,
13,27,0.07362572103738785,,
,14,,,0.11537884920835495
14,29,,0.11537884920835495,
14,29,0.058940254151821136,,
,15,,,0.07782641798257828
15,31,,0.07782641798257828,
15,31,0.07247532904148102,,
,16,,,0.05568914860486984
16,33,,0.055689144879579544,
16,33,0.057393815368413925,,
,17,,,0.057801663875579834
17,35,,0.057801663875579834,
17,35,0.08183284848928452,,
,18,,,0.1254921555519104
18,37,,0.1254921555519104,
18,37,0.07004974037408829,,
,19,,,0.11741723120212555
19,39,,0.11741723865270615,
19,39,0.09463164955377579,,
