epoch,step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
,0,,,,0.3558661937713623
0,3,,,0.3558661937713623,
0,3,0.7229840755462646,,,
,1,,,,0.1793355792760849
1,7,,,0.1793355792760849,
1,7,0.2793751060962677,,,
,2,,,,0.3347628712654114
2,11,,,0.33476290106773376,
2,11,0.1716947853565216,,,
,3,,,,0.13652072846889496
3,15,,,0.13652072846889496,
3,15,0.24431562423706055,,,
,4,,,,0.12329284846782684
4,19,,,0.12329284101724625,
4,19,0.158585786819458,,,
,5,,,,0.22646507620811462
5,23,,,0.22646506130695343,
5,23,0.10735686123371124,,,
,6,,,,0.1755356788635254
6,27,,,0.1755356788635254,
6,27,0.18781058490276337,,,
,7,,,,0.1540188491344452
7,31,,,0.1540188491344452,
7,31,0.13012388348579407,,,
,8,,,,0.18102608621120453
8,35,,,0.18102608621120453,
8,35,0.11920575052499771,,,
,9,,,,0.10294167697429657
9,39,,,0.10294166952371597,
9,39,0.1123938038945198,,,
,10,,,,0.09642276167869568
10,43,,,0.09642276167869568,
10,43,0.12326493859291077,,,
,11,,,,0.19484728574752808
11,47,,,0.19484728574752808,
11,47,0.1125846803188324,,,
12,49,,0.12465906143188477,,
,12,,,,0.12240298837423325
12,51,,,0.12240298837423325,
12,51,0.12917780876159668,,,
,13,,,,0.08715659379959106
13,55,,,0.08715659379959106,
13,55,0.10032469034194946,,,
,14,,,,0.12690238654613495
14,59,,,0.12690238654613495,
14,59,0.09936563670635223,,,
,15,,,,0.15907345712184906
15,63,,,0.15907345712184906,
15,63,0.12479636818170547,,,
,16,,,,0.12261980026960373
16,67,,,0.12261980026960373,
16,67,0.11695200204849243,,,
,17,,,,0.17776457965373993
17,71,,,0.17776457965373993,
17,71,0.09163396805524826,,,
,18,,,,0.11940883100032806
18,75,,,0.11940882354974747,
18,75,0.12637656927108765,,,
,19,,,,0.10743142664432526
19,79,,,0.10743143409490585,
19,79,0.09537824988365173,,,
,20,,,,0.08423657715320587
20,83,,,0.08423658460378647,
20,83,0.11254668235778809,,,
,21,,,,0.11303650587797165
21,87,,,0.11303650587797165,
21,87,0.07831493765115738,,,
,22,,,,0.0889735072851181
22,91,,,0.0889734998345375,
22,91,0.08680468052625656,,,
,23,,,,0.1295580416917801
23,95,,,0.1295580416917801,
23,95,0.0960599035024643,,,
24,99,,0.14084658026695251,,
,24,,,,0.09586793184280396
24,99,,,0.09586793184280396,
24,99,0.11365990340709686,,,
,25,,,,0.0832960307598114
25,103,,,0.0832960307598114,
25,103,0.10409783571958542,,,
,26,,,,0.14668935537338257
26,107,,,0.14668935537338257,
26,107,0.07180000096559525,,,
,27,,,,0.1089773178100586
27,111,,,0.1089773178100586,
27,111,0.08075382560491562,,,
,28,,,,0.08885987848043442
28,115,,,0.08885987848043442,
28,115,0.14297126233577728,,,
,29,,,,0.1972472369670868
29,119,,,0.1972472220659256,
29,119,0.1055939719080925,,,
,30,,,,0.13304787874221802
30,123,,,0.13304787874221802,
30,123,0.13255615532398224,,,
,31,,,,0.10019814223051071
31,127,,,0.10019814223051071,
31,127,0.10748543590307236,,,
,32,,,,0.15671871602535248
32,131,,,0.15671871602535248,
32,131,0.08577559888362885,,,
,33,,,,0.11843591928482056
33,135,,,0.11843591928482056,
33,135,0.10401105135679245,,,
,34,,,,0.10320733487606049
34,139,,,0.10320732742547989,
34,139,0.10653793811798096,,,
,35,,,,0.13925284147262573
35,143,,,0.13925284147262573,
35,143,0.09387781471014023,,,
,36,,,,0.09292255342006683
36,147,,,0.09292254596948624,
36,147,0.0929032638669014,,,
37,149,,0.083834208548069,,
,37,,,,0.07345938682556152
37,151,,,0.07345938682556152,
37,151,0.0937885046005249,,,
,38,,,,0.09067985415458679
38,155,,,0.09067985415458679,
38,155,0.08274410665035248,,,
,39,,,,0.08425437659025192
39,159,,,0.08425437659025192,
39,159,0.07490183413028717,,,
,40,,,,0.061237722635269165
40,163,,,0.061237722635269165,
40,163,0.13940085470676422,,,
,41,,,,0.1560257077217102
41,167,,,0.1560257077217102,
41,167,0.09628064930438995,,,
,42,,,,0.08812381327152252
42,171,,,0.08812382072210312,
42,171,0.11277356743812561,,,
,43,,,,0.06611552089452744
43,175,,,0.06611552089452744,
43,175,0.10099556297063828,,,
,44,,,,0.12941280007362366
44,179,,,0.12941280007362366,
44,179,0.08362431824207306,,,
,45,,,,0.0893268808722496
45,183,,,0.0893268808722496,
45,183,0.09350764006376266,,,
,46,,,,0.12246465682983398
46,187,,,0.12246465682983398,
46,187,0.09881126880645752,,,
,47,,,,0.07623123377561569
47,191,,,0.07623123377561569,
47,191,0.10023359209299088,,,
,48,,,,0.08525335788726807
48,195,,,0.08525335788726807,
48,195,0.08673397451639175,,,
49,199,,0.09907563030719757,,
,49,,,,0.13754317164421082
49,199,,,0.13754317164421082,
49,199,0.09948286414146423,,,
,50,,,,0.06896232068538666
50,203,,,0.06896232068538666,
50,203,0.08644988387823105,,,
,51,,,,0.12673097848892212
51,207,,,0.12673097848892212,
51,207,0.07359403371810913,,,
,52,,,,0.11150079220533371
52,211,,,0.11150079220533371,
52,211,0.0878237709403038,,,
,53,,,,0.06304636597633362
53,215,,,0.06304636597633362,
53,215,0.07331009954214096,,,
,54,,,,0.07263197004795074
54,219,,,0.07263197004795074,
54,219,0.09833299368619919,,,
,55,,,,0.09527334570884705
55,223,,,0.09527334570884705,
55,223,0.11511114239692688,,,
,56,,,,0.06417237222194672
56,227,,,0.06417237222194672,
56,227,0.07507523894309998,,,
,57,,,,0.09462811052799225
57,231,,,0.09462811797857285,
57,231,0.07728872448205948,,,
,58,,,,0.10411268472671509
58,235,,,0.10411268472671509,
58,235,0.08838216960430145,,,
,59,,,,0.05314496159553528
59,239,,,0.05314496159553528,
59,239,0.08170361816883087,,,
,60,,,,0.0673246830701828
60,243,,,0.0673246830701828,
60,243,0.07607028633356094,,,
,61,,,,0.04943646118044853
61,247,,,0.04943646118044853,
61,247,0.06775715202093124,,,
62,249,,0.0901045873761177,,
,62,,,,0.08371170610189438
62,251,,,0.08371170610189438,
62,251,0.08175966143608093,,,
,63,,,,0.09086550772190094
63,255,,,0.09086551517248154,
63,255,0.07265621423721313,,,
,64,,,,0.05318596959114075
64,259,,,0.05318596959114075,
64,259,0.06990659236907959,,,
,65,,,,0.11891251057386398
65,263,,,0.11891251057386398,
65,263,0.07856518030166626,,,
,66,,,,0.06643535196781158
66,267,,,0.06643535196781158,
66,267,0.09006710350513458,,,
,67,,,,0.053847428411245346
67,271,,,0.053847428411245346,
67,271,0.09268379956483841,,,
,68,,,,0.11426662653684616
68,275,,,0.11426662653684616,
68,275,0.07297292351722717,,,
,69,,,,0.06502282619476318
69,279,,,0.06502282619476318,
69,279,0.08583766222000122,,,
,70,,,,0.06559748947620392
70,283,,,0.06559748947620392,
70,283,0.07840762287378311,,,
,71,,,,0.10039665549993515
71,287,,,0.10039665549993515,
71,287,0.09914381802082062,,,
,72,,,,0.1461314857006073
72,291,,,0.1461314857006073,
72,291,0.08330914378166199,,,
,73,,,,0.06829297542572021
73,295,,,0.06829297542572021,
73,295,0.09211079776287079,,,
74,299,,0.055954135954380035,,
,74,,,,0.10277952253818512
74,299,,,0.10277952998876572,
74,299,0.07272982597351074,,,
,75,,,,0.06922855973243713
75,303,,,0.06922855973243713,
75,303,0.08445154875516891,,,
,76,,,,0.07825924456119537
76,307,,,0.07825924456119537,
76,307,0.07425667345523834,,,
,77,,,,0.08920280635356903
77,311,,,0.08920279890298843,
77,311,0.07530646026134491,,,
,78,,,,0.07271791994571686
78,315,,,0.07271791994571686,
78,315,0.08258365094661713,,,
,79,,,,0.0827031284570694
79,319,,,0.0827031284570694,
79,319,0.07951216399669647,,,
,80,,,,0.05234159156680107
80,323,,,0.05234159156680107,
80,323,0.07252498716115952,,,
,81,,,,0.07483935356140137
81,327,,,0.07483935356140137,
81,327,0.06645908206701279,,,
,82,,,,0.04772668331861496
82,331,,,0.04772667959332466,
82,331,0.08806517720222473,,,
,83,,,,0.07019059360027313
83,335,,,0.07019059360027313,
83,335,0.09686391800642014,,,
,84,,,,0.10732138156890869
84,339,,,0.10732138156890869,
84,339,0.0800119936466217,,,
,85,,,,0.06357588618993759
85,343,,,0.06357588618993759,
85,343,0.07821116596460342,,,
,86,,,,0.13159261643886566
86,347,,,0.13159261643886566,
86,347,0.09135115891695023,,,
87,349,,0.07717382907867432,,
,87,,,,0.07303014397621155
87,351,,,0.07303014397621155,
87,351,0.09440373629331589,,,
,88,,,,0.05871552228927612
88,355,,,0.05871552228927612,
88,355,0.06400521844625473,,,
,89,,,,0.09299121797084808
89,359,,,0.09299121052026749,
89,359,0.07795436680316925,,,
,90,,,,0.07232145220041275
90,363,,,0.07232145220041275,
90,363,0.07771076261997223,,,
,91,,,,0.07554276287555695
91,367,,,0.07554276287555695,
91,367,0.09227880090475082,,,
,92,,,,0.05600328370928764
92,371,,,0.05600328370928764,
92,371,0.06913545727729797,,,
,93,,,,0.11118774861097336
93,375,,,0.11118774861097336,
93,375,0.06212379038333893,,,
,94,,,,0.06225143000483513
94,379,,,0.06225143000483513,
94,379,0.10794014483690262,,,
,95,,,,0.04981657862663269
95,383,,,0.04981657862663269,
95,383,0.0923750102519989,,,
,96,,,,0.13359995186328888
96,387,,,0.13359995186328888,
96,387,0.08567291498184204,,,
,97,,,,0.06852617859840393
97,391,,,0.06852617859840393,
97,391,0.10278729349374771,,,
,98,,,,0.07114796340465546
98,395,,,0.07114796340465546,
98,395,0.07879038900136948,,,
99,399,,0.0673164427280426,,
,99,,,,0.0774480402469635
99,399,,,0.0774480402469635,
99,399,0.09320512413978577,,,
