Date,MCAP_22_Index
2000-01-03,1.0
2000-01-04,0.9807664200084399
2000-01-05,0.9805680610597847
2000-01-06,0.9805680610597847
2000-01-07,0.9502469217354235
2000-01-10,0.9734154561082768
2000-01-11,0.9772738154359404
2000-01-12,0.9750980738162301
2000-01-13,0.9845452555697007
2000-01-14,1.005441837976839
2000-01-17,1.0304772099902066
2000-01-18,0.9983957098044323
2000-01-19,0.9997620469447852
2000-01-20,1.005278139260866
2000-01-21,1.0047028916595562
2000-01-24,1.0185637620550283
2000-01-25,1.0068501419661087
2000-01-26,1.0209685305612175
2000-01-27,1.0148238609777092
2000-01-28,1.053247336909373
2000-01-31,1.0397474085249558
2000-02-01,1.0756583202870191
2000-02-02,1.126934293198276
2000-02-03,1.1336815356041068
2000-02-04,1.1321428832790985
2000-02-07,1.1456860531296538
2000-02-08,1.1496272574704935
2000-02-09,1.1648053450367264
2000-02-10,1.1786684562104173
2000-02-11,1.1888260553204286
2000-02-14,1.1533216507978208
2000-02-15,1.1204041053557081
2000-02-16,1.1402439116346812
2000-02-17,1.1479191034888634
2000-02-18,1.1773198558411855
2000-02-21,1.1757508387178617
2000-02-22,1.1592213576000796
2000-02-23,1.1725530570697102
2000-02-24,1.1711252602193638
2000-02-25,1.223306971113721
2000-02-28,1.2331639504546543
2000-02-29,1.2299328748513325
2000-03-01,1.257503436989526
2000-03-02,1.3023359532685101
2000-03-03,1.3179364837459009
2000-03-06,1.3208035878733893
2000-03-07,1.3282219405562177
2000-03-08,1.277634376123315
2000-03-09,1.2749554174208235
2000-03-10,1.2986931483355308
2000-03-13,1.2970370239960185
2000-03-14,1.2784480690228088
2000-03-15,1.240712090687336
2000-03-16,1.2179008616943134
2000-03-17,1.2540531168165017
2000-03-20,1.307226161239848
2000-03-21,1.282165117941356
2000-03-22,1.309216497884551
2000-03-23,1.313814238264531
2000-03-24,1.3352134022629696
2000-03-27,1.3246168892646684
2000-03-28,1.2879189639989475
2000-03-29,1.2650763424350657
2000-03-30,1.2152792008645867
2000-03-31,1.217877129254393
2000-04-03,1.212607359115171
2000-04-04,1.204005254628626
2000-04-05,1.163774142110373
2000-04-06,1.248764694764737
2000-04-07,1.2703720956947504
2000-04-10,1.2779362787793587
2000-04-11,1.2411484809805724
2000-04-12,1.228293342874572
2000-04-13,1.2088613840586935
2000-04-14,1.194289409659612
2000-04-17,1.1736740251901943
2000-04-18,1.211245599303313
2000-04-19,1.252762268010716
2000-04-20,1.2283326861997153
2000-04-21,1.2283326861997153
2000-04-24,1.2283326861997153
2000-04-25,1.2284627660793503
2000-04-26,1.2688813853747083
2000-04-27,1.2646761254629952
2000-04-28,1.3447558898184673
2000-05-01,1.3447558898184673
2000-05-02,1.3399516032760344
2000-05-03,1.3210156365916494
2000-05-04,1.2951220259703211
2000-05-05,1.3117852515657515
2000-05-08,1.2787187327790832
2000-05-09,1.278662791584454
2000-05-10,1.236315823602494
2000-05-11,1.219555980986664
2000-05-12,1.2629421878952536
2000-05-15,1.2433489957829669
2000-05-16,1.305618325446692
2000-05-17,1.2869017723798009
2000-05-18,1.300560938492714
2000-05-19,1.2485724035037755
2000-05-22,1.2082989114097313
2000-05-23,1.2389006265722895
2000-05-24,1.1871739318241408
2000-05-25,1.2280708910257108
2000-05-26,1.2033281223750032
2000-05-29,1.2175123109711927
2000-05-30,1.2613286907568626
2000-05-31,1.269163445714541
2000-06-01,1.269163445714541
2000-06-02,1.3334800699393885
2000-06-05,1.3041637569700655
2000-06-06,1.310337722797159
2000-06-07,1.3024468050863875
2000-06-08,1.3144931252742655
2000-06-09,1.3182559132995981
2000-06-12,1.3182559121003379
2000-06-13,1.2800067374462765
2000-06-14,1.2823169453482581
2000-06-15,1.261946757868698
2000-06-16,1.2582427407874197
2000-06-19,1.2582680798404022
2000-06-20,1.3102142358621498
2000-06-21,1.2950715745877543
2000-06-22,1.2692796059763352
2000-06-23,1.2692796059763352
2000-06-26,1.2627560633516868
2000-06-27,1.2351530191583602
2000-06-28,1.2718238929619816
2000-06-29,1.2364800657043302
2000-06-30,1.274926622813224
2000-07-03,1.3097299927500463
2000-07-04,1.3181975491157727
2000-07-05,1.29471158728297
2000-07-06,1.3053948846518721
2000-07-07,1.3054465524036967
2000-07-10,1.3489795062906313
2000-07-11,1.332614404132443
2000-07-12,1.3579329620428706
2000-07-13,1.3792071617042883
2000-07-14,1.3872854599951026
2000-07-17,1.4067389833249166
2000-07-18,1.37623618999085
2000-07-19,1.356971432338838
2000-07-20,1.3881885686980562
2000-07-21,1.3012857583651405
2000-07-24,1.3013409628803088
2000-07-25,1.2994049734751922
2000-07-26,1.2987141541385068
2000-07-27,1.2987141540681542
2000-07-28,1.2782386658624465
2000-07-31,1.2987884906143998
2000-08-01,1.2957990540470494
2000-08-02,1.2919810368657096
2000-08-03,1.2454559480939549
2000-08-04,1.250733590252457
2000-08-07,1.277790769327287
2000-08-08,1.2927561058410588
2000-08-09,1.3107269222626592
2000-08-10,1.2917884180551142
2000-08-11,1.278284142473779
2000-08-14,1.302104016982001
2000-08-15,1.2923998115758992
2000-08-16,1.3203398083864804
2000-08-17,1.337032989290116
2000-08-18,1.3450265148852687
2000-08-21,1.3414016710156795
2000-08-22,1.3714493863751434
2000-08-23,1.3531491422639197
2000-08-24,1.3536842144372592
2000-08-25,1.3599315987853624
2000-08-28,1.3574756182682857
2000-08-29,1.34332000549439
2000-08-30,1.3436093995983935
2000-08-31,1.3693315964787975
2000-09-01,1.3932027576761747
2000-09-04,1.4058663462512748
2000-09-05,1.4034993878246431
