epoch,step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
,0,,,,0.3210935592651367
0,1,,,0.3210935592651367,
0,1,0.717121422290802,,,
,1,,,,0.21430401504039764
1,3,,,0.21430401504039764,
1,3,0.2198794186115265,,,
,2,,,,0.22726377844810486
2,5,,,0.22726376354694366,
2,5,0.19961297512054443,,,
,3,,,,0.2581349015235901
3,7,,,0.2581349015235901,
3,7,0.17488867044448853,,,
,4,,,,0.16082313656806946
4,9,,,0.16082313656806946,
4,9,0.1659454107284546,,,
,5,,,,0.15619458258152008
5,11,,,0.15619458258152008,
5,11,0.11022625118494034,,,
,6,,,,0.17821943759918213
6,13,,,0.17821943759918213,
6,13,0.1280493140220642,,,
,7,,,,0.18676337599754333
7,15,,,0.18676336109638214,
7,15,0.10408756136894226,,,
,8,,,,0.16479867696762085
8,17,,,0.16479867696762085,
8,17,0.10061981528997421,,,
,9,,,,0.13098278641700745
9,19,,,0.13098278641700745,
9,19,0.10052473098039627,,,
,10,,,,0.12857624888420105
10,21,,,0.12857624888420105,
10,21,0.0869133248925209,,,
,11,,,,0.12337791919708252
11,23,,,0.12337791919708252,
11,23,0.08647003769874573,,,
,12,,,,0.11522909253835678
12,25,,,0.11522909253835678,
12,25,0.08162248879671097,,,
,13,,,,0.14927320182323456
13,27,,,0.14927320182323456,
13,27,0.07936250418424606,,,
,14,,,,0.16179904341697693
14,29,,,0.16179904341697693,
14,29,0.0746624767780304,,,
,15,,,,0.10717679560184479
15,31,,,0.10717680305242538,
15,31,0.0712803304195404,,,
,16,,,,0.12160217761993408
16,33,,,0.12160217761993408,
16,33,0.0657791718840599,,,
,17,,,,0.14492234587669373
17,35,,,0.14492234587669373,
17,35,0.05787265673279762,,,
,18,,,,0.104794941842556
18,37,,,0.104794941842556,
18,37,0.06043793633580208,,,
,19,,,,0.11941348016262054
19,39,,,0.11941347271203995,
19,39,0.05245009437203407,,,
,20,,,,0.14775007963180542
20,41,,,0.14775007963180542,
20,41,0.04975133016705513,,,
,21,,,,0.15422609448432922
21,43,,,0.15422609448432922,
21,43,0.04878871515393257,,,
,22,,,,0.2243437021970749
22,45,,,0.2243437021970749,
22,45,0.04946126043796539,,,
,23,,,,0.23775474727153778
23,47,,,0.23775474727153778,
23,47,0.07629867643117905,,,
24,49,,0.047726187855005264,,
,24,,,,0.12774281203746796
24,49,,,0.12774281203746796,
24,49,0.05489034578204155,,,
,25,,,,0.12564125657081604
25,51,,,0.12564125657081604,
25,51,0.04655684530735016,,,
,26,,,,0.16594308614730835
26,53,,,0.16594308614730835,
26,53,0.04225625470280647,,,
,27,,,,0.13309428095817566
27,55,,,0.13309428095817566,
27,55,0.04439428448677063,,,
,28,,,,0.12160541117191315
28,57,,,0.12160541862249374,
28,57,0.05208604037761688,,,
,29,,,,0.12400724738836288
29,59,,,0.12400724738836288,
29,59,0.03746908903121948,,,
,30,,,,0.1193452700972557
30,61,,,0.1193452700972557,
30,61,0.03363209590315819,,,
,31,,,,0.1519581526517868
31,63,,,0.1519581526517868,
31,63,0.03774267062544823,,,
,32,,,,0.13984239101409912
32,65,,,0.13984239101409912,
32,65,0.03361288085579872,,,
,33,,,,0.12833981215953827
33,67,,,0.12833981215953827,
33,67,0.03910906985402107,,,
,34,,,,0.147037535905838
34,69,,,0.147037535905838,
34,69,0.03270410746335983,,,
,35,,,,0.1470724195241928
35,71,,,0.1470724195241928,
35,71,0.028636209666728973,,,
,36,,,,0.1533258855342865
36,73,,,0.1533258855342865,
36,73,0.03441612049937248,,,
,37,,,,0.14180803298950195
37,75,,,0.14180803298950195,
37,75,0.03626145422458649,,,
,38,,,,0.130163311958313
38,77,,,0.130163311958313,
38,77,0.029245229437947273,,,
,39,,,,0.11544393002986908
39,79,,,0.11544392257928848,
39,79,0.040715452283620834,,,
