epoch,step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
,0,,,,0.665816068649292
0,1,,,0.665816068649292,
0,1,0.7242705821990967,,,
,1,,,,0.21600335836410522
1,3,,,0.21600335836410522,
1,3,0.4624817371368408,,,
,2,,,,0.22621959447860718
2,5,,,0.22621959447860718,
2,5,0.19574300944805145,,,
,3,,,,0.15619105100631714
3,7,,,0.15619105100631714,
3,7,0.23065593838691711,,,
,4,,,,0.20175975561141968
4,9,,,0.20175975561141968,
4,9,0.20457160472869873,,,
,5,,,,0.1545383185148239
5,11,,,0.1545383185148239,
5,11,0.1715824007987976,,,
,6,,,,0.14112816751003265
6,13,,,0.14112816751003265,
6,13,0.1237594336271286,,,
,7,,,,0.16120915114879608
7,15,,,0.16120915114879608,
7,15,0.148248091340065,,,
,8,,,,0.08653217554092407
8,17,,,0.08653217554092407,
8,17,0.13822704553604126,,,
,9,,,,0.08231879025697708
9,19,,,0.08231879025697708,
9,19,0.08684170991182327,,,
,10,,,,0.08258769661188126
10,21,,,0.08258769661188126,
10,21,0.10140404105186462,,,
,11,,,,0.07189655303955078
11,23,,,0.07189655303955078,
11,23,0.09951556473970413,,,
,12,,,,0.06951206177473068
12,25,,,0.06951206177473068,
12,25,0.09250914305448532,,,
,13,,,,0.0734768658876419
13,27,,,0.0734768658876419,
13,27,0.07690367847681046,,,
,14,,,,0.0726829469203949
14,29,,,0.0726829469203949,
14,29,0.07646463066339493,,,
,15,,,,0.07450826466083527
15,31,,,0.07450826466083527,
15,31,0.06509561836719513,,,
,16,,,,0.07675998657941818
16,33,,,0.07675998657941818,
16,33,0.0707274004817009,,,
,17,,,,0.07765451073646545
17,35,,,0.07765451073646545,
17,35,0.06994102150201797,,,
,18,,,,0.08233802020549774
18,37,,,0.08233802020549774,
18,37,0.06753180176019669,,,
,19,,,,0.06915583461523056
19,39,,,0.06915583461523056,
19,39,0.07060350477695465,,,
,20,,,,0.06631064414978027
20,41,,,0.06631064414978027,
20,41,0.05580390244722366,,,
,21,,,,0.07065588235855103
21,43,,,0.07065588235855103,
21,43,0.05996796861290932,,,
,22,,,,0.07917577773332596
22,45,,,0.07917577773332596,
22,45,0.05342913791537285,,,
,23,,,,0.0833701640367508
23,47,,,0.08337017148733139,
23,47,0.05487123876810074,,,
24,49,,0.05055800452828407,,
,24,,,,0.0690883919596672
24,49,,,0.0690883919596672,
24,49,0.057111117988824844,,,
,25,,,,0.06963030993938446
25,51,,,0.06963030993938446,
25,51,0.05195273086428642,,,
,26,,,,0.08537882566452026
26,53,,,0.08537882566452026,
26,53,0.05693002790212631,,,
,27,,,,0.06511478126049042
27,55,,,0.06511478126049042,
27,55,0.052927155047655106,,,
,28,,,,0.061058174818754196
28,57,,,0.061058174818754196,
28,57,0.05229463055729866,,,
,29,,,,0.06984451413154602
29,59,,,0.06984451413154602,
29,59,0.05330592393875122,,,
,30,,,,0.0509319007396698
30,61,,,0.0509319007396698,
30,61,0.058388106524944305,,,
,31,,,,0.05150003358721733
31,63,,,0.05150003358721733,
31,63,0.048145029693841934,,,
,32,,,,0.056945860385894775
32,65,,,0.056945860385894775,
32,65,0.05367998033761978,,,
,33,,,,0.06515003740787506
33,67,,,0.06515003740787506,
33,67,0.04648401960730553,,,
,34,,,,0.06128021702170372
34,69,,,0.06128021702170372,
34,69,0.04439603164792061,,,
,35,,,,0.0501612052321434
35,71,,,0.050161201506853104,
35,71,0.05014493688941002,,,
,36,,,,0.04826713725924492
36,73,,,0.04826713725924492,
36,73,0.044236306101083755,,,
,37,,,,0.07072483003139496
37,75,,,0.07072483003139496,
37,75,0.04314803704619408,,,
,38,,,,0.05935254693031311
38,77,,,0.05935254693031311,
38,77,0.04579569399356842,,,
,39,,,,0.06500615179538727
39,79,,,0.06500615179538727,
39,79,0.04571790620684624,,,
