epoch,step,train_loss_epoch,val_loss_epoch,val_loss_step
,0,,,0.17759907245635986
0,1,,0.17759907245635986,
0,1,0.5459771752357483,,
,1,,,0.15949833393096924
1,3,,0.15949833393096924,
1,3,0.17138631641864777,,
,2,,,0.10304920375347137
2,5,,0.10304919630289078,
2,5,0.18573909997940063,,
,3,,,0.1079029068350792
3,7,,0.1079029068350792,
3,7,0.13798357546329498,,
,4,,,0.13738864660263062
4,9,,0.13738864660263062,
4,9,0.13307899236679077,,
,5,,,0.1824941635131836
5,11,,0.1824941635131836,
5,11,0.12511983513832092,,
,6,,,0.1562766134738922
6,13,,0.1562766134738922,
6,13,0.12555423378944397,,
,7,,,0.0741572231054306
7,15,,0.0741572231054306,
7,15,0.10097917914390564,,
,8,,,0.08079031109809875
8,17,,0.08079031109809875,
8,17,0.09244178980588913,,
,9,,,0.062464892864227295
9,19,,0.062464892864227295,
9,19,0.10478918254375458,,
,10,,,0.054906319826841354
10,21,,0.054906319826841354,
10,21,0.086880162358284,,
,11,,,0.08655014634132385
11,23,,0.08655014634132385,
11,23,0.07306486368179321,,
,12,,,0.07391297817230225
12,25,,0.07391297817230225,
12,25,0.075141042470932,,
,13,,,0.061890602111816406
13,27,,0.061890602111816406,
13,27,0.06571339815855026,,
,14,,,0.03082249127328396
14,29,,0.03082249127328396,
14,29,0.06861899793148041,,
,15,,,0.026957733556628227
15,31,,0.026957733556628227,
15,31,0.06489191204309464,,
,16,,,0.05484721064567566
16,33,,0.05484721064567566,
16,33,0.053070392459630966,,
,17,,,0.05547432228922844
17,35,,0.05547432228922844,
17,35,0.053364768624305725,,
,18,,,0.07185575366020203
18,37,,0.07185575366020203,
18,37,0.05949839949607849,,
,19,,,0.04238751530647278
19,39,,0.04238751530647278,
19,39,0.06077117845416069,,
