epoch,step,train_loss_epoch,val_loss_epoch,val_loss_step
,0,,,0.4746939539909363
0,1,,0.4746939241886139,
0,1,0.7208710312843323,,
,1,,,0.2079588621854782
1,3,,0.2079588621854782,
1,3,0.47001105546951294,,
,2,,,0.25408321619033813
2,5,,0.25408321619033813,
2,5,0.1917628049850464,,
,3,,,0.14609380066394806
3,7,,0.14609380066394806,
3,7,0.21131262183189392,,
,4,,,0.1555379182100296
4,9,,0.1555379182100296,
4,9,0.12242243438959122,,
,5,,,0.15937110781669617
5,11,,0.15937110781669617,
5,11,0.13779857754707336,,
,6,,,0.09139728546142578
6,13,,0.09139728546142578,
6,13,0.14121286571025848,,
,7,,,0.18742404878139496
7,15,,0.18742404878139496,
7,15,0.09464995563030243,,
,8,,,0.17743077874183655
8,17,,0.17743079364299774,
8,17,0.10880006849765778,,
,9,,,0.12472482025623322
9,19,,0.12472482770681381,
9,19,0.0946575179696083,,
,10,,,0.09227804839611053
10,21,,0.09227804094552994,
10,21,0.08392542600631714,,
,11,,,0.08008677512407303
11,23,,0.08008677512407303,
11,23,0.08756822347640991,,
,12,,,0.08989359438419342
12,25,,0.08989360183477402,
12,25,0.06639484316110611,,
,13,,,0.09664231538772583
13,27,,0.09664231538772583,
13,27,0.08569193631410599,,
,14,,,0.1087866872549057
14,29,,0.1087866798043251,
14,29,0.08304749429225922,,
,15,,,0.10096742957830429
15,31,,0.10096742957830429,
15,31,0.07232505828142166,,
,16,,,0.08773770183324814
16,33,,0.08773770183324814,
16,33,0.06636132299900055,,
,17,,,0.1272900253534317
17,35,,0.1272900253534317,
17,35,0.059688013046979904,,
,18,,,0.1402861773967743
18,37,,0.1402861773967743,
18,37,0.06768365949392319,,
,19,,,0.10367994010448456
19,39,,0.10367993265390396,
19,39,0.06861116737127304,,
