epoch,step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
,0,,,,0.3343921899795532
0,3,,,0.3343921899795532,
0,3,0.671744704246521,,,
,1,,,,0.23397976160049438
1,7,,,0.23397976160049438,
1,7,0.21220070123672485,,,
,2,,,,0.18395552039146423
2,11,,,0.18395550549030304,
2,11,0.17799030244350433,,,
,3,,,,0.13902996480464935
3,15,,,0.13902996480464935,
3,15,0.15598979592323303,,,
,4,,,,0.1546069085597992
4,19,,,0.1546069085597992,
4,19,0.11228989064693451,,,
,5,,,,0.1342848539352417
5,23,,,0.1342848539352417,
5,23,0.1533324271440506,,,
,6,,,,0.120278000831604
6,27,,,0.120278000831604,
6,27,0.10810111463069916,,,
,7,,,,0.1221027821302414
7,31,,,0.1221027746796608,
7,31,0.10249315947294235,,,
,8,,,,0.10950084775686264
8,35,,,0.10950084775686264,
8,35,0.08933232724666595,,,
,9,,,,0.1354413777589798
9,39,,,0.1354413777589798,
9,39,0.07113999128341675,,,
,10,,,,0.12713965773582458
10,43,,,0.12713965773582458,
10,43,0.1561390906572342,,,
,11,,,,0.14261804521083832
11,47,,,0.14261804521083832,
11,47,0.09056173264980316,,,
12,49,,0.1021185964345932,,
,12,,,,0.11515319347381592
12,51,,,0.11515319347381592,
12,51,0.11707524210214615,,,
,13,,,,0.13033181428909302
13,55,,,0.13033181428909302,
13,55,0.08117180317640305,,,
,14,,,,0.08153833448886871
14,59,,,0.08153833448886871,
14,59,0.09269186109304428,,,
,15,,,,0.08990079164505005
15,63,,,0.08990079164505005,
15,63,0.06814747303724289,,,
,16,,,,0.07332296669483185
16,67,,,0.07332296669483185,
16,67,0.07476101815700531,,,
,17,,,,0.06678733229637146
17,71,,,0.06678733229637146,
17,71,0.06906479597091675,,,
,18,,,,0.08717411756515503
18,75,,,0.08717411756515503,
18,75,0.06986336410045624,,,
,19,,,,0.07407577335834503
19,79,,,0.07407577335834503,
19,79,0.07293310016393661,,,
,20,,,,0.08594226837158203
20,83,,,0.08594226837158203,
20,83,0.054300472140312195,,,
,21,,,,0.08183211088180542
21,87,,,0.08183211088180542,
21,87,0.07548584789037704,,,
,22,,,,0.07523589581251144
22,91,,,0.07523589581251144,
22,91,0.06636269390583038,,,
,23,,,,0.061385221779346466
23,95,,,0.061385225504636765,
23,95,0.04382137209177017,,,
24,99,,0.07165049761533737,,
,24,,,,0.05674285814166069
24,99,,,0.05674285814166069,
24,99,0.04738016799092293,,,
,25,,,,0.06216414272785187
25,103,,,0.06216414272785187,
25,103,0.048392653465270996,,,
,26,,,,0.06426090002059937
26,107,,,0.06426090002059937,
26,107,0.06883460283279419,,,
,27,,,,0.09678882360458374
27,111,,,0.09678882360458374,
27,111,0.05469044670462608,,,
,28,,,,0.09925248473882675
28,115,,,0.09925248473882675,
28,115,0.059557896107435226,,,
,29,,,,0.08999859541654587
29,119,,,0.08999859541654587,
29,119,0.059262730181217194,,,
,30,,,,0.07051877677440643
30,123,,,0.07051877677440643,
30,123,0.05143753066658974,,,
,31,,,,0.06521566212177277
31,127,,,0.06521566212177277,
31,127,0.052944835275411606,,,
,32,,,,0.06746131181716919
32,131,,,0.06746131181716919,
32,131,0.04856644570827484,,,
,33,,,,0.0736314207315445
33,135,,,0.0736314207315445,
33,135,0.05667167156934738,,,
,34,,,,0.07677274197340012
34,139,,,0.07677274197340012,
34,139,0.04986073821783066,,,
,35,,,,0.05300763249397278
35,143,,,0.05300763249397278,
35,143,0.07916015386581421,,,
,36,,,,0.10628386586904526
36,147,,,0.10628386586904526,
36,147,0.05405896157026291,,,
37,149,,0.12468271702528,,
,37,,,,0.0701913982629776
37,151,,,0.0701913982629776,
37,151,0.09041126072406769,,,
,38,,,,0.07855214923620224
38,155,,,0.07855214923620224,
38,155,0.06458786129951477,,,
,39,,,,0.10736732184886932
39,159,,,0.10736731439828873,
39,159,0.05382850766181946,,,
,40,,,,0.10823039710521698
40,163,,,0.10823038965463638,
40,163,0.07657305151224136,,,
,41,,,,0.10069006681442261
41,167,,,0.10069006681442261,
41,167,0.07547785341739655,,,
,42,,,,0.08656194806098938
42,171,,,0.08656194806098938,
42,171,0.06315729022026062,,,
,43,,,,0.06572239845991135
43,175,,,0.06572239845991135,
43,175,0.05363927781581879,,,
,44,,,,0.0586676150560379
44,179,,,0.0586676150560379,
44,179,0.061251185834407806,,,
,45,,,,0.06573803722858429
45,183,,,0.06573803722858429,
45,183,0.0457318089902401,,,
,46,,,,0.0738716870546341
46,187,,,0.0738716870546341,
46,187,0.0444604828953743,,,
,47,,,,0.07285802066326141
47,191,,,0.07285802066326141,
47,191,0.041273266077041626,,,
,48,,,,0.060192208737134933
48,195,,,0.060192208737134933,
48,195,0.046818435192108154,,,
49,199,,0.022309839725494385,,
,49,,,,0.06334775686264038
49,199,,,0.06334775686264038,
49,199,0.03536232188344002,,,
,50,,,,0.07030050456523895
50,203,,,0.07030050456523895,
50,203,0.05511854588985443,,,
,51,,,,0.08182395994663239
51,207,,,0.08182395994663239,
51,207,0.04143613204360008,,,
,52,,,,0.06446029245853424
52,211,,,0.06446029245853424,
52,211,0.05162852630019188,,,
,53,,,,0.06370337307453156
53,215,,,0.06370337307453156,
53,215,0.059914182871580124,,,
,54,,,,0.07596255093812943
54,219,,,0.07596255093812943,
54,219,0.06362390518188477,,,
,55,,,,0.07936654984951019
55,223,,,0.07936654984951019,
55,223,0.04191051796078682,,,
,56,,,,0.07695786654949188
56,227,,,0.07695786654949188,
56,227,0.04612167924642563,,,
,57,,,,0.06521813571453094
57,231,,,0.06521813571453094,
57,231,0.06035223975777626,,,
,58,,,,0.07199366390705109
58,235,,,0.07199366390705109,
58,235,0.061053067445755005,,,
,59,,,,0.08003474026918411
59,239,,,0.08003474026918411,
59,239,0.04111434891819954,,,
,60,,,,0.061343397945165634
60,243,,,0.061343397945165634,
60,243,0.045275427401065826,,,
,61,,,,0.06182818114757538
61,247,,,0.06182818114757538,
