epoch,step,train_loss_epoch,val_loss_epoch,val_loss_step
,0,,,0.45720869302749634
0,1,,0.4572087228298187,
0,1,0.7094297409057617,,
,1,,,0.22221073508262634
1,3,,0.22221072018146515,
1,3,0.4563547968864441,,
,2,,,0.23102471232414246
2,5,,0.23102469742298126,
2,5,0.18622779846191406,,
,3,,,0.18805716931819916
3,7,,0.18805716931819916,
3,7,0.1912367343902588,,
,4,,,0.23616275191307068
4,9,,0.23616273701190948,
4,9,0.09800280630588531,,
,5,,,0.19641229510307312
5,11,,0.19641228020191193,
5,11,0.14393582940101624,,
,6,,,0.1803213208913803
6,13,,0.1803213208913803,
6,13,0.08295921236276627,,
,7,,,0.18679127097129822
7,15,,0.18679125607013702,
7,15,0.12065406888723373,,
,8,,,0.18704307079315186
8,17,,0.18704307079315186,
8,17,0.09716877341270447,,
,9,,,0.22067499160766602
9,19,,0.22067499160766602,
9,19,0.07599127292633057,,
,10,,,0.19810107350349426
10,21,,0.19810108840465546,
10,21,0.11509794741868973,,
,11,,,0.17709878087043762
11,23,,0.17709879577159882,
11,23,0.07020016759634018,,
,12,,,0.15878450870513916
12,25,,0.15878450870513916,
12,25,0.08360154926776886,,
,13,,,0.16044163703918457
13,27,,0.16044163703918457,
13,27,0.07800661772489548,,
,14,,,0.1814875602722168
14,29,,0.1814875602722168,
14,29,0.05524435266852379,,
,15,,,0.1880420446395874
15,31,,0.1880420446395874,
15,31,0.06020118668675423,,
,16,,,0.1671280711889267
16,33,,0.1671280711889267,
16,33,0.050256792455911636,,
,17,,,0.14277392625808716
17,35,,0.14277392625808716,
17,35,0.049865346401929855,,
,18,,,0.14347514510154724
18,37,,0.14347514510154724,
18,37,0.06025732681155205,,
,19,,,0.16548289358615875
19,39,,0.16548289358615875,
19,39,0.0530705600976944,,
